Release 2022-07-02 Update 02 (6.0.1.21-U02)

PAL1131.exe,1.3.1.0
AltLanguage.DLL,6.0.1.5
CAMClient.EXE,6.0.1.21
ChangeDB.EXE,6.0.1.21
CJK EAS TFT Support Application.exe,6.0.1.18
CJKEAS_Support_Plugin.dll,6.0.1.10
DBHelper.DLL,6.0.1.21
ddao_vs10.dll,6.0.1.5
DocGen.EXE,6.0.1.21
Editor.EXE,6.0.1.16
ExcelLibrary.dll,1.0.0.0
FirmwareTool.exe,6.0.1.21
IOServer.EXE,6.0.1.21
libeay32.dll,1.0.2.12
libxl.dll,4.0.3.1
log4net.dll,2.0.8.0
PAGE.exe,6.0.1.21
Pal.exe,6.0.1.21
PATFunction.DLL,6.0.1.3
PATGeneral.DLL,6.0.1.2
PATONVIF.dll,6.0.1.9
PATTCPServer.EXE,6.0.1.12
ProxyStub.dll,6.0.1.21
RedNetwork.EXE,6.0.1.21
ssleay32.dll,1.0.2.12
Switch.EXE,6.0.1.5
TaskManagerMon.EXE,6.0.1.5
TreeListCtrl.DLL,6.0.1.2
Upgrade.EXE,6.0.1.21
ZipHelper.DLL,6.0.1.5
zlib1.dll,1.2.11.0
AFAS.DLL,6.0.1.6
ATA.DLL,6.0.1.18
CanOpen.DLL,6.0.1.19
caterpillar.DLL,6.0.1.18
DPKeyboard.dll,6.0.1.7
EAC3.DLL,6.0.1.18
EAS.DLL,6.0.1.5
ETH_Fieldbus.DLL,6.0.1.21
IHCS.DLL,6.0.1.20
J1939.DLL,6.0.1.19
LineIn.DLL,6.0.1.18
LinePrint.DLL,6.0.1.9
MBM.DLL,6.0.1.21
MBM_TCP.DLL,6.0.1.21
MBS.dll,6.0.1.18
MBS_TCP.dll,6.0.1.21
MG.DLL,6.0.1.18
MSMRU.DLL,6.0.1.18
Mtus.dll,6.0.1.21
NMEA2K.DLL,6.0.1.19
NMEA_in.dll,6.0.1.21
NMEA_out.DLL,6.0.1.21
OPCClient.DLL,6.0.1.18
OPCClient.DLL,6.0.1.18
OrderPrint.DLL,6.0.1.15
SF_Control.DLL,6.0.1.18
Simulation.DLL,6.0.1.18
SystemIO.DLL,6.0.1.21
TankCalc.DLL,6.0.1.21
TCP.DLL,6.0.1.18
TTP.DLL,6.0.1.21
Txt.dll,6.0.1.18
WinPrint.DLL,6.0.1.16
