Release 2022-07-02 Update 02 (6.0.1.21-U02)

App-IOM-AFAS.bin,v2.31.1.0
App-IOM-BMS.bin,v2.31.2.0
App-IOM-HPI-DSP.bin,v2.31.2.0
App-IOM-HPI-MOT.bin,v2.31.2.0
App-IOM-PMS.bin,v2.31.2.0
App-IOM-SAB.bin,v2.31.2.0
App-IOM-SPL.bin,v2.31.2.0
App-IOM-STD.bin,v2.31.2.0
app-lcd-afas-slv.bin,v2.31.2.0
app-lcd-afas.bin,v2.31.2.0
app-lcd-alm.bin,v2.31.2.0
app-lcd-eas.bin,v2.31.0.0
app-lcd-emt.bin,v2.31.2.0
app-lcd-ods.bin,v2.31.2.0
app-lcd-pms.bin,v2.31.2.0
app-lcd-tms.bin,v2.31.2.0
app-lcd4e-std.bin,v2.31.2.0
app-rxp-std.bin,v2.31.2.0
app-tcp-std.bin,v2.31.2.0
app-tft-24.bin,v2.31.2.0
app-tft-57t-afas.bin,v2.31.2.0
app-tft-57t-std.bin,v2.31.2.0
app-tft-hcs.bin,v2.31.2.0
app-tft-hpi.bin,v2.31.2.0
app-tft-std.bin,v2.31.2.0
app-xp-can.bin,v2.31.2.0
app-xp-ext-rd.bin,v2.31.2.0
app-xp-ext-rd2.bin,v2.31.2.0
app-xp-modbus.bin,v2.31.2.0
app-xp-red.bin,v2.31.2.0
app-xp-std.bin,v2.31.2.0
app-xp4e-32b.bin,v2.31.2.0
app-xp4e-std.bin,v2.31.2.0
loader-iom-hpi-dsp.bin,v2.31.2.0
loader-iom-hpi.bin,v2.31.2.0
Loader-IOM.bin,v2.31.2.0
loader-lcd.bin,v2.30.1.0
loader-lcd4e.bin,v2.30.1.0
loader-tcp.bin,v2.30.1.0
loader-tft-24.bin,v2.30.1.0
loader-tft-hcs.bin,v2.30.1.0
loader-tft-hpi.bin,v2.30.1.0
loader-tft.bin,v2.30.1.0
loader-xp.bin,v2.30.1.0
loader-xp4e.bin,v2.30.1.0
lp-lcd-cjk.bin,v2.30.1.0
lp-lcd-en.bin,v2.30.1.0
lp-lcd-ru.bin,v2.30.1.0
lp-tft-24-cjk.bin,v2.30.1.0
lp-tft-24-en.bin,v2.30.1.0
lp-tft-24-ru.bin,v2.30.1.0
lp-tft-cjk.bin,v2.30.1.0
lp-tft-en-large.bin,v2.30.1.0
lp-tft-en.bin,v2.30.1.0
lp-tft-ru.bin,v2.30.1.0
