Release: 2019-12-07 Update 00 (6.0.1.11_U00)

[16ChAp],
16ch-AP-RevD-UsbBootloader.bin,v1.35.1.0
UniversalUsbBootloader.bin,v1.35.2.0
16ch-AP-RevsDEF-Firmware.bin,v1.35.2.0

[BNWAS],
UniversalUsbBootloader.bin,v1.35.2.0
BNWASPanelFirmware.bin,v1.35.2.0

[C-FAS],
UniversalUsbBootloader.bin,v1.35.2.0
Fire-AP-RevB-Firmware.bin,v1.35.2.0
FALR_41.xcp,v1.06

[NavlightPanel+IOBoard],
NavL-CPL-RevA-UsbBootloader.bin,v1.35.2.0
UniversalUsbBootloader.bin,v1.35.2.0
NavL-CPL-RevA-Firmware.bin,v1.35.2.0
IOB-BL.bin,v1.35.2.0
IOBoards.bin,v1.35.2.0

[WindowWiperPanel+IOBoard],
WW-CPL-RevA-UsbBootloader.bin,v1.35.2.0
UniversalUsbBootloader.bin,v1.35.2.0
WW-CPL-RevsAB-Firmware.bin,v1.35.2.0
IOB-BL.bin,v1.35.2.0
IOBoards.bin,v1.35.2.0
